draw_id,n_points,tau,p_value,n_zero_years,significant_p05
371,40,0.29586,0.032711,30,True
372,40,0.42052,0.002294,28,True
373,40,0.32291,0.018865,29,True
374,40,0.27606,0.048738,32,True
375,40,0.20441,0.139026,29,False
376,40,0.25713,0.061503,29,False
377,40,0.1503,0.276677,29,False
378,40,0.22244,0.107406,29,False
379,40,0.2093,0.128014,29,False
380,40,0.28285,0.041177,30,True
381,40,0.1696,0.222204,30,False
382,40,0.32755,0.016829,27,True
383,40,0.23731,0.088006,31,False
384,40,0.17936,0.190739,28,False
385,40,0.2298,0.093664,28,False
386,40,0.24384,0.078387,30,False
387,40,0.34851,0.012247,29,True
388,40,0.31357,0.021892,27,True
389,40,0.2157,0.1137,26,False
390,40,0.31762,0.02149,30,True
391,40,0.27873,0.04362,30,True
392,40,0.25222,0.065778,28,False
393,40,0.34885,0.0109,27,True
394,40,0.27464,0.045126,28,True
395,40,0.02019,0.881755,26,False
396,40,0.26561,0.052201,28,False
397,40,0.29586,0.032711,30,True
398,40,0.10649,0.437242,28,False
399,40,0.03978,0.770826,27,False
400,40,0.28285,0.041177,30,True
401,40,0.31641,0.022925,31,True
402,40,0.28046,0.04378,31,True
403,40,0.31214,0.024861,29,True
404,40,0.29559,0.03099,27,True
405,40,0.30168,0.026869,27,True
406,40,0.18907,0.167638,27,False
407,40,0.19446,0.159217,30,False
